Codigo_IBGE,UF,Padrao_Acabamento,Mes,Ano,Tipo_Projeto,Descricao,Valor_m2,Regiao
11,Rondônia,Mínimo,março,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1215.48,Norte
11,Rondônia,Mínimo,março,2025,CB-MMO,Cesta básica construção,1130.44,Norte
11,Rondônia,Mínimo,abril,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1218.01,Norte
11,Rondônia,Mínimo,abril,2025,CB-MMO,Cesta básica construção,1130.83,Norte
11,Rondônia,Mínimo,maio,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1221.17,Norte
11,Rondônia,Mínimo,maio,2025,CB-MMO,Cesta básica construção,1133.59,Norte
11,Rondônia,Mínimo,junho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1248.29,Norte
11,Rondônia,Mínimo,junho,2025,CB-MMO,Cesta básica construção,1161.75,Norte
11,Rondônia,Mínimo,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1256.6,Norte
11,Rondônia,Mínimo,julho,2025,CB-MMO,Cesta básica construção,1165.55,Norte
11,Rondônia,Mínimo,agosto,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1260.45,Norte
11,Rondônia,Mínimo,agosto,2025,CB-MMO,Cesta básica construção,1167.99,Norte
11,Rondônia,Mínimo,setembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1268.44,Norte
11,Rondônia,Mínimo,setembro,2025,CB-MMO,Cesta básica construção,1174.93,Norte
11,Rondônia,Mínimo,outubro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1277.13,Norte
11,Rondônia,Mínimo,outubro,2025,CB-MMO,Cesta básica construção,1183.86,Norte
11,Rondônia,Mínimo,novembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1281.43,Norte
11,Rondônia,Mínimo,novembro,2025,CB-MMO,Cesta básica construção,1188.34,Norte
11,Rondônia,Mínimo,dezembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",1279.42,Norte
11,Rondônia,Mínimo,dezembro,2025,CB-MMO,Cesta básica construção,1190.05,Norte
12,Acre,Alto,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2285.41,Norte
12,Acre,Alto,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2125.89,Norte
12,Acre,Alto,janeiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2231.98,Norte
12,Acre,Alto,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2279.87,Norte
12,Acre,Alto,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2118.84,Norte
12,Acre,Alto,fevereiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2236.0,Norte
12,Acre,Alto,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2363.3,Norte
12,Acre,Alto,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),2190.78,Norte
12,Acre,Alto,março,2025,PC.12-LA,Prédio comercial (12 pavimentos),2308.5,Norte
12,Acre,Alto,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2367.03,Norte
12,Acre,Alto,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),2194.05,Norte
12,Acre,Alto,abril,2025,PC.12-LA,Prédio comercial (12 pavimentos),2314.07,Norte
12,Acre,Alto,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2372.96,Norte
12,Acre,Alto,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),2200.27,Norte
12,Acre,Alto,maio,2025,PC.12-LA,Prédio comercial (12 pavimentos),2314.13,Norte
12,Acre,Alto,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2387.27,Norte
12,Acre,Alto,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),2217.72,Norte
12,Acre,Alto,junho,2025,PC.12-LA,Prédio comercial (12 pavimentos),2319.55,Norte
12,Acre,Alto,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2409.74,Norte
12,Acre,Alto,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),2232.55,Norte
12,Acre,Alto,julho,2025,PC.12-LA,Prédio comercial (12 pavimentos),2324.04,Norte
12,Acre,Alto,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2420.57,Norte
12,Acre,Alto,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),2248.06,Norte
12,Acre,Alto,agosto,2025,PC.12-LA,Prédio comercial (12 pavimentos),2339.73,Norte
12,Acre,Alto,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2443.81,Norte
12,Acre,Alto,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2262.7,Norte
12,Acre,Alto,setembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2347.61,Norte
12,Acre,Alto,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2448.03,Norte
12,Acre,Alto,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2264.96,Norte
12,Acre,Alto,outubro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2349.54,Norte
12,Acre,Alto,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2448.78,Norte
12,Acre,Alto,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2269.13,Norte
12,Acre,Alto,novembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2352.83,Norte
12,Acre,Alto,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2452.17,Norte
12,Acre,Alto,dezembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),2271.07,Norte
12,Acre,Alto,dezembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),2354.02,Norte
12,Acre,Normal,janeiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2012.09,Norte
12,Acre,Normal,janeiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1917.04,Norte
12,Acre,Normal,janeiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1682.94,Norte
12,Acre,Normal,janeiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1764.8,Norte
12,Acre,Normal,fevereiro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2015.87,Norte
12,Acre,Normal,fevereiro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1920.91,Norte
12,Acre,Normal,fevereiro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1689.27,Norte
12,Acre,Normal,fevereiro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1781.04,Norte
12,Acre,Normal,março,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2097.59,Norte
12,Acre,Normal,março,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2000.39,Norte
12,Acre,Normal,março,2025,PR4-3QP,Prédio residencial (4 pavimentos),1758.97,Norte
12,Acre,Normal,março,2025,PC.12-LA,Prédio comercial (12 pavimentos),1850.04,Norte
12,Acre,Normal,abril,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2098.58,Norte
12,Acre,Normal,abril,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",1999.95,Norte
12,Acre,Normal,abril,2025,PR4-3QP,Prédio residencial (4 pavimentos),1759.74,Norte
12,Acre,Normal,abril,2025,PC.12-LA,Prédio comercial (12 pavimentos),1853.56,Norte
12,Acre,Normal,maio,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2101.37,Norte
12,Acre,Normal,maio,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2003.15,Norte
12,Acre,Normal,maio,2025,PR4-3QP,Prédio residencial (4 pavimentos),1759.91,Norte
12,Acre,Normal,maio,2025,PC.12-LA,Prédio comercial (12 pavimentos),1842.95,Norte
12,Acre,Normal,junho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2107.76,Norte
12,Acre,Normal,junho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2007.57,Norte
12,Acre,Normal,junho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1767.82,Norte
12,Acre,Normal,junho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1844.37,Norte
12,Acre,Normal,julho,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2127.25,Norte
12,Acre,Normal,julho,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2024.98,Norte
12,Acre,Normal,julho,2025,PR4-3QP,Prédio residencial (4 pavimentos),1778.66,Norte
12,Acre,Normal,julho,2025,PC.12-LA,Prédio comercial (12 pavimentos),1852.27,Norte
12,Acre,Normal,agosto,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2138.18,Norte
12,Acre,Normal,agosto,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2034.46,Norte
12,Acre,Normal,agosto,2025,PR4-3QP,Prédio residencial (4 pavimentos),1788.7,Norte
12,Acre,Normal,agosto,2025,PC.12-LA,Prédio comercial (12 pavimentos),1855.85,Norte
12,Acre,Normal,setembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2155.84,Norte
12,Acre,Normal,setembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2051.42,Norte
12,Acre,Normal,setembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1799.5,Norte
12,Acre,Normal,setembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1862.18,Norte
12,Acre,Normal,outubro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2156.8,Norte
12,Acre,Normal,outubro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2053.51,Norte
12,Acre,Normal,outubro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1800.08,Norte
12,Acre,Normal,outubro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1863.63,Norte
12,Acre,Normal,novembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2158.8,Norte
12,Acre,Normal,novembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2055.05,Norte
12,Acre,Normal,novembro,2025,PR4-3QP,Prédio residencial (4 pavimentos),1803.34,Norte
12,Acre,Normal,novembro,2025,PC.12-LA,Prédio comercial (12 pavimentos),1864.91,Norte
12,Acre,Normal,dezembro,2025,CP.1-2Q,"Casa popular (1 pav, varanda, sala, 2 quartos)",2159.5,Norte
12,Acre,Normal,dezembro,2025,CR.1-3Q,"Casa residencial (1 pav, 3 quartos)",2055.37,Norte
